SKU,date,demand
SKU6,2024-08-01,71
SKU6,2024-09-01,73
SKU6,2024-10-01,61
SKU6,2024-11-01,66
SKU6,2024-12-01,64
SKU7,2024-01-01,454
SKU7,2024-02-01,466
SKU7,2024-03-01,520
SKU7,2024-04-01,392
SKU7,2024-05-01,416
SKU7,2024-06-01,396
SKU7,2024-07-01,404
SKU7,2024-08-01,438
SKU7,2024-09-01,434
SKU7,2024-10-01,465
SKU7,2024-11-01,348
SKU7,2024-12-01,422
SKU8,2024-01-01,140
SKU8,2024-02-01,161
SKU8,2024-03-01,160
SKU8,2024-04-01,147
SKU8,2024-05-01,158
SKU8,2024-06-01,165
SKU8,2024-07-01,125
SKU8,2024-08-01,153
SKU8,2024-09-01,154
SKU8,2024-10-01,154
SKU8,2024-11-01,158
SKU8,2024-12-01,149
SKU9,2024-01-01,938
SKU9,2024-02-01,951
SKU9,2024-03-01,1059
SKU9,2024-04-01,1080
SKU9,2024-05-01,1018
SKU9,2024-06-01,987
SKU9,2024-07-01,1041
SKU9,2024-08-01,753
SKU9,2024-09-01,933
SKU9,2024-10-01,1133
SKU9,2024-11-01,879
SKU9,2024-12-01,1074
SKU10,2024-01-01,1010
SKU10,2024-02-01,1061
SKU10,2024-03-01,915
SKU10,2024-04-01,872
SKU10,2024-05-01,1054
SKU10,2024-06-01,1006
SKU10,2024-07-01,1010
SKU10,2024-08-01,917
SKU10,2024-09-01,1041
SKU10,2024-10-01,860
SKU10,2024-11-01,981
SKU10,2024-12-01,876
SKU11,2024-01-01,969
SKU11,2024-02-01,1033
SKU11,2024-03-01,949
SKU11,2024-04-01,991
SKU11,2024-05-01,895
SKU11,2024-06-01,1028
SKU11,2024-07-01,881
SKU11,2024-08-01,731
SKU11,2024-09-01,1058
SKU11,2024-10-01,1023
SKU11,2024-11-01,1117
SKU11,2024-12-01,976
SKU12,2024-01-01,304
SKU12,2024-02-01,299
SKU12,2024-03-01,319
SKU12,2024-04-01,345
SKU12,2024-05-01,325
SKU12,2024-06-01,350
SKU12,2024-07-01,374
SKU12,2024-08-01,354
SKU12,2024-09-01,306
SKU12,2024-10-01,324
SKU12,2024-11-01,307
SKU12,2024-12-01,381
SKU13,2024-01-01,246
SKU13,2024-02-01,294
SKU13,2024-03-01,229
SKU13,2024-04-01,243
SKU13,2024-05-01,251
SKU13,2024-06-01,274
SKU13,2024-07-01,232
SKU13,2024-08-01,242
SKU13,2024-09-01,249
SKU13,2024-10-01,235
SKU13,2024-11-01,257
SKU13,2024-12-01,258
SKU14,2024-01-01,520
SKU14,2024-02-01,585
SKU14,2024-03-01,416
SKU14,2024-04-01,489
SKU14,2024-05-01,583
SKU14,2024-06-01,586
SKU14,2024-07-01,544
SKU14,2024-08-01,587
SKU14,2024-09-01,600
SKU14,2024-10-01,489
SKU14,2024-11-01,580
SKU14,2024-12-01,660
SKU15,2024-01-01,392
SKU15,2024-02-01,508
SKU15,2024-03-01,566
SKU15,2024-04-01,475
SKU15,2024-05-01,481
SKU15,2024-06-01,538
SKU15,2024-07-01,502
SKU15,2024-08-01,436
SKU15,2024-09-01,489
SKU15,2024-10-01,394
SKU15,2024-11-01,448
SKU15,2024-12-01,466
SKU16,2024-01-01,313
SKU16,2024-02-01,306
SKU16,2024-03-01,295
SKU16,2024-04-01,255
SKU16,2024-05-01,268
SKU16,2024-06-01,257
SKU16,2024-07-01,242
SKU16,2024-08-01,322
SKU16,2024-09-01,288
SKU16,2024-10-01,277
SKU16,2024-11-01,247
SKU16,2024-12-01,279
SKU17,2024-01-01,118
SKU17,2024-02-01,129
SKU17,2024-03-01,126
SKU17,2024-04-01,126
SKU17,2024-05-01,118
SKU17,2024-06-01,132
SKU17,2024-07-01,128
SKU17,2024-08-01,114
SKU17,2024-09-01,135
SKU17,2024-10-01,150
SKU17,2024-11-01,137
SKU17,2024-12-01,131
SKU18,2024-01-01,602
SKU18,2024-02-01,657
SKU18,2024-03-01,631
SKU18,2024-04-01,676
SKU18,2024-05-01,574
SKU18,2024-06-01,571
SKU18,2024-07-01,646
SKU18,2024-08-01,664
SKU18,2024-09-01,669
SKU18,2024-10-01,623
SKU18,2024-11-01,651
SKU18,2024-12-01,558
SKU19,2024-01-01,204
SKU19,2024-02-01,208
SKU19,2024-03-01,201
SKU19,2024-04-01,188
SKU19,2024-05-01,167
SKU19,2024-06-01,164
SKU19,2024-07-01,178
SKU19,2024-08-01,169
SKU19,2024-09-01,164
SKU19,2024-10-01,229
SKU19,2024-11-01,160
SKU19,2024-12-01,194
SKU20,2024-01-01,345
SKU20,2024-02-01,349
SKU20,2024-03-01,370
SKU20,2024-04-01,311
SKU20,2024-05-01,339
SKU20,2024-06-01,306
SKU20,2024-07-01,313
SKU20,2024-08-01,302
SKU20,2024-09-01,313
SKU20,2024-10-01,345
SKU20,2024-11-01,309
SKU20,2024-12-01,311
SKU21,2024-01-01,720
SKU21,2024-02-01,597
SKU21,2024-03-01,598
SKU21,2024-04-01,580
SKU21,2024-05-01,447
SKU21,2024-06-01,599
SKU21,2024-07-01,675
SKU21,2024-08-01,534
SKU21,2024-09-01,568
SKU21,2024-10-01,623
SKU21,2024-11-01,638
SKU21,2024-12-01,641
SKU22,2024-01-01,850
SKU22,2024-02-01,906
SKU22,2024-03-01,961
SKU22,2024-04-01,840
SKU22,2024-05-01,856
SKU22,2024-06-01,764
SKU22,2024-07-01,949
SKU22,2024-08-01,959
SKU22,2024-09-01,959
SKU22,2024-10-01,906
SKU22,2024-11-01,921
SKU22,2024-12-01,861
SKU23,2024-01-01,382
SKU23,2024-02-01,368
SKU23,2024-03-01,391
SKU23,2024-04-01,413
SKU23,2024-05-01,415
SKU23,2024-06-01,397
SKU23,2024-07-01,383
SKU23,2024-08-01,402
SKU23,2024-09-01,363
SKU23,2024-10-01,431
SKU23,2024-11-01,358
SKU23,2024-12-01,367
SKU24,2024-01-01,186
SKU24,2024-02-01,205
SKU24,2024-03-01,210
SKU24,2024-04-01,190
SKU24,2024-05-01,215
SKU24,2024-06-01,218
SKU24,2024-07-01,190
SKU24,2024-08-01,194
SKU24,2024-09-01,239
SKU24,2024-10-01,212
SKU24,2024-11-01,197
SKU24,2024-12-01,224
SKU25,2024-01-01,144
SKU25,2024-02-01,127
SKU25,2024-03-01,152
SKU25,2024-04-01,143
SKU25,2024-05-01,142
SKU25,2024-06-01,133
SKU25,2024-07-01,162
SKU25,2024-08-01,153
SKU25,2024-09-01,126
SKU25,2024-10-01,141
SKU25,2024-11-01,156
SKU25,2024-12-01,145
SKU26,2024-01-01,319
SKU26,2024-02-01,356
SKU26,2024-03-01,334
SKU26,2024-04-01,377
SKU26,2024-05-01,360
SKU26,2024-06-01,376
SKU26,2024-07-01,381
SKU26,2024-08-01,333
SKU26,2024-09-01,356
SKU26,2024-10-01,330
SKU26,2024-11-01,349
SKU26,2024-12-01,311
SKU27,2024-01-01,393
SKU27,2024-02-01,351
SKU27,2024-03-01,361
SKU27,2024-04-01,364
SKU27,2024-05-01,300
SKU27,2024-06-01,433
SKU27,2024-07-01,338
SKU27,2024-08-01,379
SKU27,2024-09-01,351
SKU27,2024-10-01,306
SKU27,2024-11-01,332
SKU27,2024-12-01,301
SKU28,2024-01-01,441
SKU28,2024-02-01,382
SKU28,2024-03-01,443
SKU28,2024-04-01,452
SKU28,2024-05-01,407
SKU28,2024-06-01,418
SKU28,2024-07-01,394
SKU28,2024-08-01,388
SKU28,2024-09-01,392
SKU28,2024-10-01,394
SKU28,2024-11-01,397
SKU28,2024-12-01,396
SKU29,2024-01-01,257
SKU29,2024-02-01,200
SKU29,2024-03-01,263
SKU29,2024-04-01,230
SKU29,2024-05-01,229
SKU29,2024-06-01,227
SKU29,2024-07-01,264
SKU29,2024-08-01,219
SKU29,2024-09-01,271
SKU29,2024-10-01,272
SKU29,2024-11-01,248
SKU29,2024-12-01,301
SKU30,2024-01-01,376
SKU30,2024-02-01,305
SKU30,2024-03-01,343
SKU30,2024-04-01,305
SKU30,2024-05-01,363
SKU30,2024-06-01,362
SKU30,2024-07-01,323
SKU30,2024-08-01,312
SKU30,2024-09-01,331
SKU30,2024-10-01,335
SKU30,2024-11-01,359
SKU30,2024-12-01,276
SKU31,2024-01-01,166
SKU31,2024-02-01,176
SKU31,2024-03-01,136
SKU31,2024-04-01,195
SKU31,2024-05-01,165
SKU31,2024-06-01,167
SKU31,2024-07-01,176
SKU31,2024-08-01,175
SKU31,2024-09-01,133
SKU31,2024-10-01,171
SKU31,2024-11-01,209
SKU31,2024-12-01,170
SKU32,2024-01-01,621
SKU32,2024-02-01,715
SKU32,2024-03-01,730
SKU32,2024-04-01,709
SKU32,2024-05-01,997
SKU32,2024-06-01,825
SKU32,2024-07-01,761
SKU32,2024-08-01,744
SKU32,2024-09-01,873
SKU32,2024-10-01,757
SKU32,2024-11-01,715
SKU32,2024-12-01,797
SKU33,2024-01-01,576
SKU33,2024-02-01,592
SKU33,2024-03-01,715
SKU33,2024-04-01,623
SKU33,2024-05-01,720
SKU33,2024-06-01,593
SKU33,2024-07-01,597
SKU33,2024-08-01,735
SKU33,2024-09-01,518
SKU33,2024-10-01,730
SKU33,2024-11-01,536
SKU33,2024-12-01,610
SKU34,2024-01-01,665
SKU34,2024-02-01,593
SKU34,2024-03-01,589
SKU34,2024-04-01,521
SKU34,2024-05-01,580
SKU34,2024-06-01,544
SKU34,2024-07-01,550
SKU34,2024-08-01,569
SKU34,2024-09-01,694
SKU34,2024-10-01,614
SKU34,2024-11-01,621
SKU34,2024-12-01,593
SKU35,2024-01-01,419
SKU35,2024-02-01,394
SKU35,2024-03-01,451
SKU35,2024-04-01,412
SKU35,2024-05-01,473
SKU35,2024-06-01,437
SKU35,2024-07-01,447
SKU35,2024-08-01,394
SKU35,2024-09-01,513
SKU35,2024-10-01,461
SKU35,2024-11-01,474
SKU35,2024-12-01,400
SKU36,2024-01-01,1087
SKU36,2024-02-01,1060
SKU36,2024-03-01,983
SKU36,2024-04-01,882
SKU36,2024-05-01,887
SKU36,2024-06-01,972
SKU36,2024-07-01,977
SKU36,2024-08-01,989
SKU36,2024-09-01,807
SKU36,2024-10-01,875
SKU36,2024-11-01,1031
SKU36,2024-12-01,1121
SKU37,2024-01-01,1012
SKU37,2024-02-01,1022
SKU37,2024-03-01,872
SKU37,2024-04-01,1076
SKU37,2024-05-01,1193
SKU37,2024-06-01,1012
SKU37,2024-07-01,931
SKU37,2024-08-01,876
SKU37,2024-09-01,745
SKU37,2024-10-01,899
SKU37,2024-11-01,1007
SKU37,2024-12-01,937
SKU38,2024-01-01,728
SKU38,2024-02-01,732
SKU38,2024-03-01,735
SKU38,2024-04-01,610
SKU38,2024-05-01,786
SKU38,2024-06-01,645
SKU38,2024-07-01,727
SKU38,2024-08-01,673
SKU38,2024-09-01,694
SKU38,2024-10-01,745
SKU38,2024-11-01,734
SKU38,2024-12-01,744
SKU39,2024-01-01,161
SKU39,2024-02-01,105
SKU39,2024-03-01,173
SKU39,2024-04-01,178
SKU39,2024-05-01,152
SKU39,2024-06-01,160
SKU39,2024-07-01,168
SKU39,2024-08-01,204
SKU39,2024-09-01,208
SKU39,2024-10-01,145
SKU39,2024-11-01,192
SKU39,2024-12-01,179
SKU40,2024-01-01,858
SKU40,2024-02-01,865
SKU40,2024-03-01,861
SKU40,2024-04-01,781
SKU40,2024-05-01,1044
SKU40,2024-06-01,1051
SKU40,2024-07-01,901
SKU40,2024-08-01,1002
SKU40,2024-09-01,956
SKU40,2024-10-01,974
SKU40,2024-11-01,950
SKU40,2024-12-01,853
SKU41,2024-01-01,590
SKU41,2024-02-01,613
SKU41,2024-03-01,507
SKU41,2024-04-01,590
SKU41,2024-05-01,568
SKU41,2024-06-01,624
SKU41,2024-07-01,533
SKU41,2024-08-01,534
SKU41,2024-09-01,558
SKU41,2024-10-01,593
SKU41,2024-11-01,528
SKU41,2024-12-01,562
SKU42,2024-01-01,155
SKU42,2024-02-01,141
SKU42,2024-03-01,161
SKU42,2024-04-01,157
SKU42,2024-05-01,148
SKU42,2024-06-01,143
SKU42,2024-07-01,159
SKU42,2024-08-01,169
SKU42,2024-09-01,156
SKU42,2024-10-01,169
SKU42,2024-11-01,155
SKU42,2024-12-01,171
SKU43,2024-01-01,580
SKU43,2024-02-01,674
SKU43,2024-03-01,602
SKU43,2024-04-01,498
SKU43,2024-05-01,625
SKU43,2024-06-01,635
SKU43,2024-07-01,640
SKU43,2024-08-01,651
SKU43,2024-09-01,505
SKU43,2024-10-01,691
SKU43,2024-11-01,634
SKU43,2024-12-01,562
SKU44,2024-01-01,931
SKU44,2024-02-01,939
SKU44,2024-03-01,900
SKU44,2024-04-01,908
SKU44,2024-05-01,974
SKU44,2024-06-01,884
SKU44,2024-07-01,893
SKU44,2024-08-01,850
SKU44,2024-09-01,831
SKU44,2024-10-01,733
SKU44,2024-11-01,1020
SKU44,2024-12-01,826
SKU45,2024-01-01,21
SKU45,2024-02-01,21
SKU45,2024-03-01,24
SKU45,2024-04-01,22
SKU45,2024-05-01,22
SKU45,2024-06-01,22
SKU45,2024-07-01,25
SKU45,2024-08-01,28
SKU45,2024-09-01,25
SKU45,2024-10-01,26
SKU45,2024-11-01,26
SKU45,2024-12-01,23
SKU46,2024-01-01,966
SKU46,2024-02-01,752
SKU46,2024-03-01,995
SKU46,2024-04-01,736
SKU46,2024-05-01,844
SKU46,2024-06-01,989
SKU46,2024-07-01,828
SKU46,2024-08-01,794
SKU46,2024-09-01,749
SKU46,2024-10-01,933
SKU46,2024-11-01,838
SKU46,2024-12-01,888
SKU47,2024-01-01,867
SKU47,2024-02-01,817
SKU47,2024-03-01,969
SKU47,2024-04-01,946
SKU47,2024-05-01,904
SKU47,2024-06-01,955
SKU47,2024-07-01,1100
SKU47,2024-08-01,937
SKU47,2024-09-01,817
SKU47,2024-10-01,1092
SKU47,2024-11-01,991
SKU47,2024-12-01,991
SKU48,2024-01-01,30
SKU48,2024-02-01,30
SKU48,2024-03-01,34
SKU48,2024-04-01,33
SKU48,2024-05-01,30
SKU48,2024-06-01,26
SKU48,2024-07-01,35
SKU48,2024-08-01,28
SKU48,2024-09-01,27
SKU48,2024-10-01,30
SKU48,2024-11-01,27
SKU48,2024-12-01,24
SKU49,2024-01-01,94
SKU49,2024-02-01,112
SKU49,2024-03-01,97
SKU49,2024-04-01,90
SKU49,2024-05-01,92
SKU49,2024-06-01,101
SKU49,2024-07-01,98
SKU49,2024-08-01,89
SKU49,2024-09-01,102
SKU49,2024-10-01,107
SKU49,2024-11-01,108
SKU49,2024-12-01,98
SKU50,2024-01-01,659
SKU50,2024-02-01,635
SKU50,2024-03-01,593
SKU50,2024-04-01,559
SKU50,2024-05-01,605
SKU50,2024-06-01,640
SKU50,2024-07-01,701
SKU50,2024-08-01,625
SKU50,2024-09-01,646
SKU50,2024-10-01,617
SKU50,2024-11-01,668
SKU50,2024-12-01,802
SKU51,2024-01-01,143
SKU51,2024-02-01,173
SKU51,2024-03-01,193
SKU51,2024-04-01,150
SKU51,2024-05-01,151
SKU51,2024-06-01,170
SKU51,2024-07-01,161
SKU51,2024-08-01,172
SKU51,2024-09-01,154
SKU51,2024-10-01,152
SKU51,2024-11-01,137
SKU51,2024-12-01,163
SKU52,2024-01-01,846
SKU52,2024-02-01,960
SKU52,2024-03-01,942
SKU52,2024-04-01,713
SKU52,2024-05-01,853
SKU52,2024-06-01,861
SKU52,2024-07-01,824
SKU52,2024-08-01,924
SKU52,2024-09-01,758
SKU52,2024-10-01,700
SKU52,2024-11-01,705
SKU52,2024-12-01,918
SKU53,2024-01-01,217
SKU53,2024-02-01,246
SKU53,2024-03-01,260
SKU53,2024-04-01,288
SKU53,2024-05-01,242
SKU53,2024-06-01,250
SKU53,2024-07-01,226
SKU53,2024-08-01,277
SKU53,2024-09-01,229
SKU53,2024-10-01,179
SKU53,2024-11-01,227
SKU53,2024-12-01,276
SKU54,2024-01-01,541
SKU54,2024-02-01,645
SKU54,2024-03-01,665
SKU54,2024-04-01,611
SKU54,2024-05-01,639
SKU54,2024-06-01,604
SKU54,2024-07-01,596
SKU54,2024-08-01,654
SKU54,2024-09-01,669
SKU54,2024-10-01,673
SKU54,2024-11-01,728
SKU54,2024-12-01,545
SKU55,2024-01-01,732
SKU55,2024-02-01,638
SKU55,2024-03-01,673
SKU55,2024-04-01,685
SKU55,2024-05-01,702
SKU55,2024-06-01,855
SKU55,2024-07-01,676
SKU55,2024-08-01,821
SKU55,2024-09-01,593
SKU55,2024-10-01,702
SKU55,2024-11-01,699
SKU55,2024-12-01,728
SKU56,2024-01-01,98
SKU56,2024-02-01,96
SKU56,2024-03-01,79
SKU56,2024-04-01,81
SKU56,2024-05-01,94
SKU56,2024-06-01,98
SKU56,2024-07-01,102
SKU56,2024-08-01,83
SKU56,2024-09-01,76
SKU56,2024-10-01,78
SKU56,2024-11-01,114
SKU56,2024-12-01,93
SKU57,2024-01-01,254
SKU57,2024-02-01,219
SKU57,2024-03-01,209
SKU57,2024-04-01,239
SKU57,2024-05-01,223
SKU57,2024-06-01,194
SKU57,2024-07-01,224
SKU57,2024-08-01,246
SKU57,2024-09-01,217
SKU57,2024-10-01,277
SKU57,2024-11-01,221
SKU57,2024-12-01,205
SKU58,2024-01-01,893
SKU58,2024-02-01,938
SKU58,2024-03-01,872
SKU58,2024-04-01,874
SKU58,2024-05-01,883
SKU58,2024-06-01,773
SKU58,2024-07-01,807
SKU58,2024-08-01,783
SKU58,2024-09-01,878
SKU58,2024-10-01,836
SKU58,2024-11-01,962
SKU58,2024-12-01,852
SKU59,2024-01-01,493
SKU59,2024-02-01,545
SKU59,2024-03-01,533
SKU59,2024-04-01,502
SKU59,2024-05-01,452
SKU59,2024-06-01,487
SKU59,2024-07-01,510
SKU59,2024-08-01,417
SKU59,2024-09-01,497
SKU59,2024-10-01,489
SKU59,2024-11-01,543
SKU59,2024-12-01,493
SKU60,2024-01-01,347
SKU60,2024-02-01,405
SKU60,2024-03-01,422
SKU60,2024-04-01,347
SKU60,2024-05-01,497
SKU60,2024-06-01,368
SKU60,2024-07-01,358
SKU60,2024-08-01,361
SKU60,2024-09-01,379
SKU60,2024-10-01,364
SKU60,2024-11-01,440
SKU60,2024-12-01,374
SKU61,2024-01-01,124
SKU61,2024-02-01,139
SKU61,2024-03-01,119
SKU61,2024-04-01,120
SKU61,2024-05-01,95
SKU61,2024-06-01,113
SKU61,2024-07-01,105
SKU61,2024-08-01,120
SKU61,2024-09-01,120
SKU61,2024-10-01,134
SKU61,2024-11-01,122
SKU61,2024-12-01,123
SKU62,2024-01-01,286
SKU62,2024-02-01,276
SKU62,2024-03-01,286
SKU62,2024-04-01,235
SKU62,2024-05-01,302
SKU62,2024-06-01,240
SKU62,2024-07-01,229
SKU62,2024-08-01,280
SKU62,2024-09-01,289
SKU62,2024-10-01,256
SKU62,2024-11-01,257
SKU62,2024-12-01,278
SKU63,2024-01-01,255
SKU63,2024-02-01,236
SKU63,2024-03-01,213
SKU63,2024-04-01,262
SKU63,2024-05-01,231
SKU63,2024-06-01,286
SKU63,2024-07-01,280
SKU63,2024-08-01,270
SKU63,2024-09-01,224
SKU63,2024-10-01,241
SKU63,2024-11-01,255
SKU63,2024-12-01,251
SKU64,2024-01-01,134
SKU64,2024-02-01,130
SKU64,2024-03-01,144
SKU64,2024-04-01,145
SKU64,2024-05-01,128
SKU64,2024-06-01,118
SKU64,2024-07-01,125
SKU64,2024-08-01,119
SKU64,2024-09-01,115
SKU64,2024-10-01,147
SKU64,2024-11-01,140
SKU64,2024-12-01,110
SKU65,2024-01-01,412
SKU65,2024-02-01,490
SKU65,2024-03-01,457
SKU65,2024-04-01,445
SKU65,2024-05-01,449
SKU65,2024-06-01,393
SKU65,2024-07-01,432
SKU65,2024-08-01,475
SKU65,2024-09-01,441
SKU65,2024-10-01,425
SKU65,2024-11-01,399
SKU65,2024-12-01,497
SKU66,2024-01-01,734
SKU66,2024-02-01,765
SKU66,2024-03-01,642
SKU66,2024-04-01,679
SKU66,2024-05-01,721
SKU66,2024-06-01,714
SKU66,2024-07-01,723
SKU66,2024-08-01,684
SKU66,2024-09-01,743
SKU66,2024-10-01,680
SKU66,2024-11-01,566
SKU66,2024-12-01,683
SKU67,2024-01-01,502
SKU67,2024-02-01,450
SKU67,2024-03-01,491
SKU67,2024-04-01,521
SKU67,2024-05-01,518
SKU67,2024-06-01,624
SKU67,2024-07-01,584
SKU67,2024-08-01,480
SKU67,2024-09-01,509
SKU67,2024-10-01,465
SKU67,2024-11-01,495
SKU67,2024-12-01,510
SKU68,2024-01-01,147
SKU68,2024-02-01,167
SKU68,2024-03-01,147
SKU68,2024-04-01,168
SKU68,2024-05-01,154
SKU68,2024-06-01,157
SKU68,2024-07-01,126
SKU68,2024-08-01,190
SKU68,2024-09-01,177
SKU68,2024-10-01,145
SKU68,2024-11-01,174
SKU68,2024-12-01,179
SKU69,2024-01-01,542
SKU69,2024-02-01,528
SKU69,2024-03-01,497
SKU69,2024-04-01,560
SKU69,2024-05-01,545
SKU69,2024-06-01,528
SKU69,2024-07-01,487
SKU69,2024-08-01,521
SKU69,2024-09-01,497
SKU69,2024-10-01,476
SKU69,2024-11-01,486
SKU69,2024-12-01,500
SKU70,2024-01-01,32
SKU70,2024-02-01,27
SKU70,2024-03-01,32
SKU70,2024-04-01,37
SKU70,2024-05-01,40
SKU70,2024-06-01,32
SKU70,2024-07-01,27
SKU70,2024-08-01,35
SKU70,2024-09-01,35
SKU70,2024-10-01,37
SKU70,2024-11-01,33
SKU70,2024-12-01,32
SKU71,2024-01-01,683
SKU71,2024-02-01,544
SKU71,2024-03-01,684
SKU71,2024-04-01,621
SKU71,2024-05-01,721
SKU71,2024-06-01,664
SKU71,2024-07-01,602
SKU71,2024-08-01,671
SKU71,2024-09-01,673
SKU71,2024-10-01,547
SKU71,2024-11-01,558
SKU71,2024-12-01,611
SKU72,2024-01-01,449
SKU72,2024-02-01,491
SKU72,2024-03-01,461
SKU72,2024-04-01,546
SKU72,2024-05-01,512
SKU72,2024-06-01,457
SKU72,2024-07-01,481
SKU72,2024-08-01,409
SKU72,2024-09-01,504
SKU72,2024-10-01,454
SKU72,2024-11-01,501
SKU72,2024-12-01,457
SKU73,2024-01-01,450
SKU73,2024-02-01,421
SKU73,2024-03-01,446
SKU73,2024-04-01,376
SKU73,2024-05-01,424
SKU73,2024-06-01,380
SKU73,2024-07-01,444
SKU73,2024-08-01,346
SKU73,2024-09-01,381
SKU73,2024-10-01,334
SKU73,2024-11-01,325
SKU73,2024-12-01,374
SKU74,2024-01-01,847
SKU74,2024-02-01,909
SKU74,2024-03-01,1018
SKU74,2024-04-01,948
SKU74,2024-05-01,868
SKU74,2024-06-01,871
SKU74,2024-07-01,1032
SKU74,2024-08-01,1008
SKU74,2024-09-01,759
SKU74,2024-10-01,860
SKU74,2024-11-01,894
SKU74,2024-12-01,772
SKU75,2024-01-01,106
SKU75,2024-02-01,102
SKU75,2024-03-01,81
SKU75,2024-04-01,105
SKU75,2024-05-01,81
SKU75,2024-06-01,100
SKU75,2024-07-01,105
SKU75,2024-08-01,99
SKU75,2024-09-01,118
SKU75,2024-10-01,96
SKU75,2024-11-01,100
SKU75,2024-12-01,120
SKU76,2024-01-01,240
SKU76,2024-02-01,216
SKU76,2024-03-01,205
SKU76,2024-04-01,222
SKU76,2024-05-01,250
SKU76,2024-06-01,228
SKU76,2024-07-01,205
SKU76,2024-08-01,261
SKU76,2024-09-01,223
SKU76,2024-10-01,233
SKU76,2024-11-01,208
SKU76,2024-12-01,252
SKU77,2024-01-01,405
SKU77,2024-02-01,360
SKU77,2024-03-01,439
SKU77,2024-04-01,271
SKU77,2024-05-01,335
SKU77,2024-06-01,317
SKU77,2024-07-01,341
SKU77,2024-08-01,379
SKU77,2024-09-01,349
SKU77,2024-10-01,267
SKU77,2024-11-01,287
SKU77,2024-12-01,365
SKU78,2024-01-01,981
SKU78,2024-02-01,979
SKU78,2024-03-01,933
SKU78,2024-04-01,793
SKU78,2024-05-01,1042
SKU78,2024-06-01,1074
SKU78,2024-07-01,948
SKU78,2024-08-01,873
SKU78,2024-09-01,840
SKU78,2024-10-01,1044
SKU78,2024-11-01,995
SKU78,2024-12-01,961
SKU79,2024-01-01,227
SKU79,2024-02-01,198
SKU79,2024-03-01,201
SKU79,2024-04-01,183
SKU79,2024-05-01,185
SKU79,2024-06-01,183
SKU79,2024-07-01,196
SKU79,2024-08-01,200
SKU79,2024-09-01,218
SKU79,2024-10-01,202
SKU79,2024-11-01,188
SKU79,2024-12-01,173
SKU80,2024-01-01,953
SKU80,2024-02-01,970
SKU80,2024-03-01,927
SKU80,2024-04-01,794
SKU80,2024-05-01,966
SKU80,2024-06-01,938
SKU80,2024-07-01,790
SKU80,2024-08-01,1065
SKU80,2024-09-01,864
SKU80,2024-10-01,902
SKU80,2024-11-01,943
SKU80,2024-12-01,919
SKU81,2024-01-01,723
SKU81,2024-02-01,797
SKU81,2024-03-01,834
SKU81,2024-04-01,698
SKU81,2024-05-01,758
SKU81,2024-06-01,798
SKU81,2024-07-01,774
SKU81,2024-08-01,809
SKU81,2024-09-01,840
SKU81,2024-10-01,642
SKU81,2024-11-01,791
SKU81,2024-12-01,791
SKU82,2024-01-01,338
SKU82,2024-02-01,383
SKU82,2024-03-01,312
SKU82,2024-04-01,345
SKU82,2024-05-01,318
SKU82,2024-06-01,274
SKU82,2024-07-01,312
SKU82,2024-08-01,371
SKU82,2024-09-01,367
SKU82,2024-10-01,394
SKU82,2024-11-01,325
